Reference_SiO2,,Sample_A,,Sample_B,,Sample_C,,Sample_D,,Sample_E,,Sample_F,,Sample_G,,Sample_G_flipped,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1023.000427,-0.0001091215308,1023.000427,0.0002138448472,1023.000427,0.03080637753,1023.000427,0.006270339247,1023.000427,0.0002969876805,1023.000427,0.02513507009,1023.000427,0.0131728556,1023.000427,0.002191564534,1023.000427,0.001810713671,
1022.008728,0.0007201490225,1022.008728,0.003313509282,1022.008728,0.02874321118,1022.008728,0.003911823966,1022.008728,0.0003586946405,1022.008728,0.02726435848,1022.008728,0.01394556649,1022.008728,0.0002980497375,1022.008728,0.004689961672,
1020.985352,0.001468142262,1020.985352,0.004164218437,1020.985352,0.03143900633,1020.985352,0.004578033462,1020.985352,0.0033595243,1020.985352,0.03014744818,1020.985352,0.01500962675,1020.985352,0.004036225844,1020.985352,0.004048950505,
1019.992126,-0.0004122712708,1019.992126,0.002242040122,1019.992126,0.03011703864,1019.992126,0.00327021163,1019.992126,-0.0008260118193,1019.992126,0.02660516277,1019.992126,0.01182480808,1019.992126,0.0009322735132,1019.992126,0.0008651159005,
1018.998474,-0.001088640769,1018.998474,0.001232651295,1018.998474,0.02726904489,1018.998474,0.005352047272,1018.998474,-0.002178783529,1018.998474,0.02533715405,1018.998474,0.01370644569,1018.998474,0.0008540666313,1018.998474,0.002390717622,
1018.00415,-0.001208537724,1018.00415,9.011840302E-005,1018.00415,0.02885128185,1018.00415,0.002046622336,1018.00415,-0.0008746339008,1018.00415,0.02706358023,1018.00415,0.01169730444,1018.00415,-0.000344664295,1018.00415,0.002505702432,
1017.009155,-0.001215197612,1017.009155,0.002600821434,1017.009155,0.02841056883,1017.009155,0.004234031308,1017.009155,-0.0003844952444,1017.009155,0.02879507095,1017.009155,0.0137950182,1017.009155,0.0006219931529,1017.009155,0.002903789049,
1016.01355,-0.002806220204,1016.01355,-0.0001625334698,1016.01355,0.02697002888,1016.01355,0.003309831489,1016.01355,-0.002770417603,1016.01355,0.02808265202,1016.01355,0.01210888755,1016.01355,-0.001927895006,1016.01355,0.0005510215997,
1014.986267,-0.0001838032476,1014.986267,0.001346187317,1014.986267,0.03011817671,1014.986267,0.004005736206,1014.986267,8.723658539E-006,1014.986267,0.02699683048,1014.986267,0.01238862518,1014.986267,0.0007795043639,1014.986267,0.001464116387,
1013.989319,0.0004470995336,1013.989319,0.004501129035,1013.989319,0.02875822969,1013.989319,0.004377247766,1013.989319,0.0008021699614,1013.989319,0.02844306827,1013.989319,0.01277204603,1013.989319,0.002894042991,1013.989319,0.005489497911,
